id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia
1,Monday,1,February
2,Monday,1,March
3,Monday,1,June
4,Monday,1,August
5,Monday,1,November
6,Monday,2,February
7,Monday,2,March
8,Monday,2,May
9,Monday,2,August
10,Monday,2,November
11,Monday,3,January
12,Monday,3,May
13,Monday,3,August
14,Monday,3,October
15,Monday,4,January
16,Monday,4,April
17,Monday,4,May
18,Monday,4,July
19,Monday,4,October
20,Monday,5,January
21,Monday,5,April
22,Monday,5,July
23,Monday,5,September
24,Monday,5,October
25,Monday,6,April
26,Monday,6,June
27,Monday,6,July
28,Monday,6,September
29,Monday,6,December
30,Monday,7,February
31,Monday,7,March
32,Monday,7,June
33,Monday,7,September
34,Monday,7,November
35,Monday,7,December
36,Monday,8,February
37,Monday,8,March
38,Monday,8,June
39,Monday,8,August
40,Monday,8,November
41,Monday,9,February
42,Monday,9,March
43,Monday,9,May
44,Monday,9,August
45,Monday,9,November
46,Monday,10,January
47,Monday,10,May
48,Monday,10,August
49,Monday,10,October
50,Monday,11,January
51,Monday,11,April
52,Monday,11,May
53,Monday,11,July
54,Monday,11,October
55,Monday,12,January
56,Monday,12,April
57,Monday,12,July
58,Monday,12,September
59,Monday,12,October
60,Monday,13,April
61,Monday,13,June
62,Monday,13,July
63,Monday,13,September
64,Monday,13,December
65,Monday,14,February
66,Monday,14,March
67,Monday,14,June
68,Monday,14,September
69,Monday,14,November
70,Monday,14,December
71,Monday,15,February
72,Monday,15,March
73,Monday,15,June
74,Monday,15,August
75,Monday,15,November
76,Monday,16,February
77,Monday,16,March
78,Monday,16,May
79,Monday,16,August
80,Monday,16,November
81,Monday,17,January
82,Monday,17,May
83,Monday,17,August
84,Monday,17,October
85,Monday,18,January
86,Monday,18,April
87,Monday,18,May
88,Monday,18,July
89,Monday,18,October
90,Monday,19,January
91,Monday,19,April
92,Monday,19,July
93,Monday,19,September
94,Monday,19,October
95,Monday,20,April
96,Monday,20,June
97,Monday,20,July
98,Monday,20,September
99,Monday,20,December
100,Monday,21,February
101,Monday,21,March
102,Monday,21,June
103,Monday,21,September
104,Monday,21,November
105,Monday,21,December
106,Monday,22,February
107,Monday,22,March
108,Monday,22,June
109,Monday,22,August
110,Monday,22,November
111,Monday,22,December
112,Monday,23,February
113,Monday,23,March
114,Monday,23,May
115,Monday,23,August
116,Monday,23,November
