id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
1,Monday,1,January,1115
2,Monday,1,February,5934
3,Monday,1,April,13417
4,Monday,1,May,2827
5,Monday,1,June,12283
6,Monday,1,July,13910
7,Monday,1,August,6691
8,Monday,1,September,5088
9,Monday,1,October,8693
10,Monday,1,December,5093
11,Monday,2,January,4484
12,Monday,2,February,4824
13,Monday,2,March,14889
14,Monday,2,April,6252
15,Monday,2,May,5630
16,Monday,2,June,5278
17,Monday,2,July,9414
18,Monday,2,September,13813
19,Monday,2,October,8647
20,Monday,2,November,12797
21,Monday,2,December,13945
22,Monday,3,February,14184
23,Monday,3,March,4744
24,Monday,3,April,7348
25,Monday,3,June,15506
26,Monday,3,July,8414
27,Monday,3,August,14378
28,Monday,3,September,8628
29,Monday,3,October,6558
30,Monday,3,November,4774
31,Monday,3,December,9150
32,Monday,4,January,15363
33,Monday,4,February,12579
34,Monday,4,March,12575
35,Monday,4,April,5897
36,Monday,4,May,13300
37,Monday,4,June,9017
38,Monday,4,July,6754
39,Monday,4,August,4825
40,Monday,4,September,7465
41,Monday,4,November,13438
42,Monday,4,December,7762
43,Monday,5,January,4221
44,Monday,5,February,7397
45,Monday,5,March,8754
46,Monday,5,May,5301
47,Monday,5,June,7518
48,Monday,5,August,14388
49,Monday,5,September,5937
50,Monday,5,October,15360
51,Monday,5,November,8566
52,Monday,5,December,6813
53,Monday,6,January,6165
54,Monday,6,February,5926
55,Monday,6,March,6616
56,Monday,6,April,7912
57,Monday,6,May,13536
58,Monday,6,June,5589
59,Monday,6,July,12926
60,Monday,6,August,7566
61,Monday,6,October,3755
62,Monday,6,November,6990
63,Monday,7,January,8614
64,Monday,7,March,4796
65,Monday,7,April,3890
66,Monday,7,May,7416
67,Monday,7,July,3761
68,Monday,7,August,6589
69,Monday,7,September,12315
70,Monday,7,October,11403
71,Monday,7,November,5091
72,Monday,7,December,12356
73,Monday,8,January,6340
74,Monday,8,February,3816
75,Monday,8,April,10479
76,Monday,8,May,6099
77,Monday,8,June,10291
78,Monday,8,July,10681
79,Monday,8,August,4692
80,Monday,8,September,3389
81,Monday,8,October,6725
82,Monday,8,December,2360
83,Monday,9,January,4706
84,Monday,9,February,3303
85,Monday,9,March,10595
86,Monday,9,April,6724
87,Monday,9,May,4315
88,Monday,9,June,3172
89,Monday,9,July,6628
90,Monday,9,September,10454
91,Monday,9,October,6327
92,Monday,9,November,11273
93,Monday,9,December,9688
94,Monday,10,February,12207
95,Monday,10,March,4925
96,Monday,10,April,6493
97,Monday,10,June,12302
98,Monday,10,July,6878
99,Monday,10,August,13095
100,Monday,10,September,7484
101,Monday,10,October,5435
102,Monday,10,November,4300
103,Monday,10,December,8021
104,Monday,11,January,12631
105,Monday,11,February,10416
106,Monday,11,March,11571
107,Monday,11,April,4921
108,Monday,11,May,10434
109,Monday,11,June,8027
110,Monday,11,July,4836
111,Monday,11,August,4249
112,Monday,11,September,6267
113,Monday,11,November,11088
114,Monday,11,December,6795
115,Monday,12,January,3824
116,Monday,12,February,5728
117,Monday,12,March,6724
118,Monday,12,May,4265
119,Monday,12,June,6094
120,Monday,12,August,9772
121,Monday,12,September,4070
122,Monday,12,October,8321
123,Monday,12,November,6718
124,Monday,12,December,4989
125,Monday,13,January,9916
126,Monday,13,February,5083
127,Monday,13,March,4953
128,Monday,13,April,5418
129,Monday,13,May,10561
130,Monday,13,June,4343
131,Monday,13,July,11242
132,Monday,13,August,6697
133,Monday,13,October,3010
134,Monday,13,November,5850
135,Monday,14,January,9172
136,Monday,14,March,3933
137,Monday,14,April,3556
138,Monday,14,May,6129
139,Monday,14,July,3250
140,Monday,14,August,5348
141,Monday,14,September,10971
142,Monday,14,October,10547
143,Monday,14,November,4064
144,Monday,14,December,11641
145,Monday,15,January,5580
146,Monday,15,February,3881
147,Monday,15,April,10244
148,Monday,15,May,5182
149,Monday,15,June,9294
150,Monday,15,July,10634
151,Monday,15,August,1932
152,Monday,15,September,2980
153,Monday,15,October,6514
154,Monday,15,December,3503
155,Monday,16,January,4311
156,Monday,16,February,2557
157,Monday,16,March,5763
158,Monday,16,April,6258
159,Monday,16,May,3175
160,Monday,16,June,2954
161,Monday,16,July,6546
162,Monday,16,September,9765
163,Monday,16,October,5632
164,Monday,16,November,10250
165,Monday,16,December,10201
166,Monday,17,February,8859
167,Monday,17,March,2923
168,Monday,17,April,3411
169,Monday,17,June,9180
170,Monday,17,July,5533
171,Monday,17,August,10841
172,Monday,17,September,6287
173,Monday,17,October,3863
174,Monday,17,November,2656
175,Monday,17,December,10819
176,Monday,18,January,11370
177,Monday,18,February,7685
178,Monday,18,March,8745
179,Monday,18,April,3515
180,Monday,18,May,8679
181,Monday,18,June,5434
182,Monday,18,July,4077
183,Monday,18,August,2944
184,Monday,18,September,5215
185,Monday,18,November,8595
186,Monday,18,December,5579
187,Monday,19,January,2657
188,Monday,19,February,5148
189,Monday,19,March,5168
190,Monday,19,May,2790
191,Monday,19,June,5098
192,Monday,19,August,8485
193,Monday,19,September,3663
194,Monday,19,October,9476
195,Monday,19,November,5650
196,Monday,19,December,4770
197,Monday,20,January,7660
198,Monday,20,February,4173
199,Monday,20,March,3939
200,Monday,20,April,6363
201,Monday,20,May,8459
202,Monday,20,June,3717
203,Monday,20,July,9899
204,Monday,20,August,5340
205,Monday,20,October,2395
206,Monday,20,November,4680
207,Monday,21,January,7176
208,Monday,21,March,3281
209,Monday,21,April,1949
210,Monday,21,May,5276
211,Monday,21,July,2742
212,Monday,21,August,5070
213,Monday,21,September,9594
214,Monday,21,October,7851
215,Monday,21,November,3473
216,Monday,21,December,15765
217,Monday,22,January,4457
218,Monday,22,February,2994
219,Monday,22,April,6413
220,Monday,22,May,4630
221,Monday,22,June,7853
222,Monday,22,July,8491
223,Monday,22,August,3181
224,Monday,22,September,2324
225,Monday,22,October,5409
226,Monday,22,December,4661
227,Monday,23,January,3464
228,Monday,23,February,2307
229,Monday,23,March,3986
230,Monday,23,April,4239
231,Monday,23,May,3196
232,Monday,23,June,2344
233,Monday,23,July,5416
234,Monday,23,September,7942
235,Monday,23,October,4456
236,Monday,23,November,8304
237,Monday,23,December,15226
238,Monday,24,February,6850
239,Monday,24,March,2076
240,Monday,24,April,4204
241,Monday,24,June,6757
242,Monday,24,July,4631
243,Monday,24,August,9565
244,Monday,24,September,5043
245,Monday,24,October,3173
246,Monday,24,November,2136
247,Monday,24,December,10464
248,Monday,25,January,10349
249,Monday,25,February,6980
250,Monday,25,March,7273
251,Monday,25,April,3062
252,Monday,25,May,7457
253,Monday,25,June,5304
254,Monday,25,July,3125
255,Monday,25,August,2524
256,Monday,25,September,4879
257,Monday,25,November,8025
258,Monday,25,December,830
259,Monday,26,January,2409
260,Monday,26,February,5172
261,Monday,26,March,5643
262,Monday,26,May,2716
263,Monday,26,June,4465
264,Monday,26,August,7679
265,Monday,26,September,3586
266,Monday,26,October,8913
267,Monday,26,November,5355
268,Monday,26,December,1934
269,Monday,27,January,7529
270,Monday,27,February,4008
271,Monday,27,March,4321
272,Monday,27,April,7062
273,Monday,27,May,8114
274,Monday,27,June,3754
275,Monday,27,July,10681
276,Monday,27,August,4999
277,Monday,27,October,2447
278,Monday,27,November,5212
279,Monday,28,January,7166
280,Monday,28,March,2379
281,Monday,28,April,2498
282,Monday,28,May,5393
283,Monday,28,July,2414
284,Monday,28,August,5900
285,Monday,28,September,9395
286,Monday,28,October,8350
287,Monday,28,November,3627
288,Monday,28,December,12112
289,Monday,29,January,4997
290,Monday,29,February,4850
291,Monday,29,April,9030
292,Monday,29,May,4924
293,Monday,29,June,9215
294,Monday,29,July,9002
295,Monday,29,August,3608
296,Monday,29,September,3102
297,Monday,29,October,5181
298,Monday,29,December,3596
299,Monday,30,January,4533
300,Monday,30,March,6374
301,Monday,30,April,6894
302,Monday,30,May,4036
303,Monday,30,June,4341
304,Monday,30,July,6603
305,Monday,30,September,11942
306,Monday,30,October,5884
307,Monday,30,November,12756
308,Monday,30,December,12669
309,Monday,31,March,4435
310,Monday,31,July,7165
311,Monday,31,August,13499
312,Monday,31,October,6776
313,Monday,31,December,9976
314,Tuesday,1,January,2264
315,Tuesday,1,March,5654
