id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
1,1,1,1,1115
2,1,1,2,5934
3,1,1,4,13417
4,1,1,5,2827
5,1,1,6,12283
6,1,1,7,13910
7,1,1,8,6691
8,1,1,9,5088
9,1,1,10,8693
10,1,1,12,5093
11,1,2,1,4484
12,1,2,2,4824
13,1,2,3,14889
14,1,2,4,6252
15,1,2,5,5630
16,1,2,6,5278
17,1,2,7,9414
18,1,2,9,13813
19,1,2,10,8647
20,1,2,11,12797
21,1,2,12,13945
22,1,3,2,14184
23,1,3,3,4744
24,1,3,4,7348
25,1,3,6,15506
26,1,3,7,8414
27,1,3,8,14378
28,1,3,9,8628
29,1,3,10,6558
30,1,3,11,4774
31,1,3,12,9150
32,1,4,1,15363
33,1,4,2,12579
34,1,4,3,12575
35,1,4,4,5897
36,1,4,5,13300
37,1,4,6,9017
38,1,4,7,6754
39,1,4,8,4825
40,1,4,9,7465
41,1,4,11,13438
42,1,4,12,7762
43,1,5,1,4221
44,1,5,2,7397
45,1,5,3,8754
46,1,5,5,5301
47,1,5,6,7518
48,1,5,8,14388
49,1,5,9,5937
50,1,5,10,15360
51,1,5,11,8566
52,1,5,12,6813
53,1,6,1,6165
54,1,6,2,5926
55,1,6,3,6616
56,1,6,4,7912
57,1,6,5,13536
58,1,6,6,5589
59,1,6,7,12926
60,1,6,8,7566
61,1,6,10,3755
62,1,6,11,6990
63,1,7,1,8614
64,1,7,3,4796
65,1,7,4,3890
66,1,7,5,7416
67,1,7,7,3761
68,1,7,8,6589
69,1,7,9,12315
70,1,7,10,11403
71,1,7,11,5091
72,1,7,12,12356
73,1,8,1,6340
74,1,8,2,3816
75,1,8,4,10479
76,1,8,5,6099
77,1,8,6,10291
78,1,8,7,10681
79,1,8,8,4692
80,1,8,9,3389
81,1,8,10,6725
82,1,8,12,2360
83,1,9,1,4706
84,1,9,2,3303
85,1,9,3,10595
86,1,9,4,6724
87,1,9,5,4315
88,1,9,6,3172
89,1,9,7,6628
90,1,9,9,10454
91,1,9,10,6327
92,1,9,11,11273
93,1,9,12,9688
94,1,10,2,12207
95,1,10,3,4925
96,1,10,4,6493
97,1,10,6,12302
98,1,10,7,6878
99,1,10,8,13095
100,1,10,9,7484
101,1,10,10,5435
102,1,10,11,4300
103,1,10,12,8021
104,1,11,1,12631
105,1,11,2,10416
106,1,11,3,11571
107,1,11,4,4921
108,1,11,5,10434
109,1,11,6,8027
110,1,11,7,4836
111,1,11,8,4249
112,1,11,9,6267
113,1,11,11,11088
114,1,11,12,6795
115,1,12,1,3824
116,1,12,2,5728
117,1,12,3,6724
118,1,12,5,4265
119,1,12,6,6094
120,1,12,8,9772
121,1,12,9,4070
122,1,12,10,8321
123,1,12,11,6718
124,1,12,12,4989
125,1,13,1,9916
126,1,13,2,5083
127,1,13,3,4953
128,1,13,4,5418
129,1,13,5,10561
130,1,13,6,4343
131,1,13,7,11242
132,1,13,8,6697
133,1,13,10,3010
134,1,13,11,5850
135,1,14,1,9172
136,1,14,3,3933
137,1,14,4,3556
138,1,14,5,6129
139,1,14,7,3250
140,1,14,8,5348
141,1,14,9,10971
142,1,14,10,10547
143,1,14,11,4064
144,1,14,12,11641
145,1,15,1,5580
146,1,15,2,3881
147,1,15,4,10244
148,1,15,5,5182
149,1,15,6,9294
150,1,15,7,10634
151,1,15,8,1932
152,1,15,9,2980
153,1,15,10,6514
154,1,15,12,3503
155,1,16,1,4311
156,1,16,2,2557
157,1,16,3,5763
158,1,16,4,6258
159,1,16,5,3175
160,1,16,6,2954
161,1,16,7,6546
162,1,16,9,9765
163,1,16,10,5632
164,1,16,11,10250
165,1,16,12,10201
166,1,17,2,8859
167,1,17,3,2923
168,1,17,4,3411
169,1,17,6,9180
170,1,17,7,5533
171,1,17,8,10841
172,1,17,9,6287
173,1,17,10,3863
174,1,17,11,2656
175,1,17,12,10819
176,1,18,1,11370
177,1,18,2,7685
178,1,18,3,8745
179,1,18,4,3515
180,1,18,5,8679
181,1,18,6,5434
182,1,18,7,4077
183,1,18,8,2944
184,1,18,9,5215
185,1,18,11,8595
186,1,18,12,5579
187,1,19,1,2657
188,1,19,2,5148
189,1,19,3,5168
190,1,19,5,2790
191,1,19,6,5098
192,1,19,8,8485
193,1,19,9,3663
194,1,19,10,9476
195,1,19,11,5650
196,1,19,12,4770
197,1,20,1,7660
198,1,20,2,4173
199,1,20,3,3939
200,1,20,4,6363
201,1,20,5,8459
202,1,20,6,3717
203,1,20,7,9899
204,1,20,8,5340
205,1,20,10,2395
206,1,20,11,4680
207,1,21,1,7176
208,1,21,3,3281
209,1,21,4,1949
210,1,21,5,5276
211,1,21,7,2742
212,1,21,8,5070
213,1,21,9,9594
214,1,21,10,7851
215,1,21,11,3473
216,1,21,12,15765
217,1,22,1,4457
218,1,22,2,2994
219,1,22,4,6413
220,1,22,5,4630
221,1,22,6,7853
222,1,22,7,8491
223,1,22,8,3181
224,1,22,9,2324
225,1,22,10,5409
226,1,22,12,4661
227,1,23,1,3464
228,1,23,2,2307
229,1,23,3,3986
230,1,23,4,4239
231,1,23,5,3196
232,1,23,6,2344
